epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2885.03,1.2258,0.87865,1.06018,0.99312,0.98337,0.99429,0.67049,1.20749,0.56305,0.87197,0.00333283,0.00333283,0.00333283
2,5729.94,1.11149,0.5301,0.99754,0.99421,0.98745,0.99437,0.67484,1.19289,0.53926,0.86707,0.00664416,0.00664416,0.00664416
3,8566.72,1.11173,0.5171,0.98962,0.99441,0.98713,0.99457,0.67128,1.18634,0.52927,0.86378,0.0099335,0.0099335,0.0099335
4,11412.3,1.09682,0.49537,0.98082,0.994,0.98938,0.99459,0.67542,1.17352,0.49765,0.86061,0.009901,0.009901,0.009901
5,14242.8,1.05765,0.46482,0.96744,0.99448,0.99033,0.99458,0.67984,1.15604,0.48404,0.85558,0.009868,0.009868,0.009868
6,17051,1.03528,0.44604,0.9591,0.99457,0.99072,0.99459,0.68399,1.15228,0.47036,0.85246,0.009835,0.009835,0.009835
7,19871.7,1.02165,0.43296,0.95329,0.99556,0.99124,0.99457,0.68405,1.14331,0.46592,0.85385,0.009802,0.009802,0.009802
8,22687.8,1.012,0.42026,0.94961,0.99579,0.99333,0.99459,0.68506,1.14027,0.45676,0.85053,0.009769,0.009769,0.009769
9,25538.2,1.00044,0.4127,0.94807,0.99646,0.99298,0.99464,0.68476,1.14924,0.45733,0.84932,0.009736,0.009736,0.009736
10,28377.7,1.00107,0.41073,0.94597,0.99645,0.99287,0.99468,0.68771,1.13171,0.45131,0.848,0.009703,0.009703,0.009703
11,31188.3,0.98663,0.40463,0.94276,0.99634,0.99298,0.99463,0.68868,1.13078,0.44905,0.84833,0.00967,0.00967,0.00967
12,33999.2,0.98916,0.40432,0.94188,0.99684,0.99309,0.99469,0.68868,1.131,0.44833,0.84627,0.009637,0.009637,0.009637
13,36806.2,0.98356,0.39597,0.93992,0.99629,0.9943,0.99471,0.6907,1.12384,0.44342,0.84599,0.009604,0.009604,0.009604
14,39631,0.97624,0.39235,0.93973,0.99667,0.99354,0.99465,0.68979,1.12604,0.44295,0.84606,0.009571,0.009571,0.009571
15,42453.3,0.97202,0.39335,0.93739,0.99714,0.99376,0.99469,0.6917,1.12144,0.43879,0.84531,0.009538,0.009538,0.009538
16,45285.7,0.97208,0.38677,0.93571,0.99657,0.99414,0.99462,0.69186,1.12343,0.43638,0.8447,0.009505,0.009505,0.009505
17,48124.2,0.96884,0.38523,0.93478,0.99653,0.99447,0.99463,0.69182,1.12045,0.4364,0.8453,0.009472,0.009472,0.009472
18,50927.9,0.9661,0.38291,0.93292,0.99712,0.99464,0.99474,0.69169,1.11695,0.43285,0.84469,0.009439,0.009439,0.009439
