epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1033.63,1.04204,1.00862,0.9917,0.98259,0.97369,0.99317,0.67834,1.19792,0.58241,0.89839,0.00333179,0.00333179,0.00333179
2,2046.17,0.9946,0.52326,0.94521,0.98827,0.98223,0.99404,0.64136,1.29974,0.56035,0.90929,0.00664313,0.00664313,0.00664313
3,3062.13,1.02623,0.52284,0.95115,0.99157,0.98561,0.99444,0.64969,1.30753,0.5604,0.90867,0.00993247,0.00993247,0.00993247
4,4084.96,1.01424,0.50355,0.94556,0.99286,0.98501,0.99463,0.67645,1.20837,0.52196,0.89024,0.009901,0.009901,0.009901
5,5081.88,0.98759,0.47197,0.93048,0.99495,0.98849,0.99477,0.64349,1.29182,0.5265,0.89924,0.009868,0.009868,0.009868
6,6062.78,0.96335,0.44616,0.92676,0.99354,0.98574,0.99473,0.65398,1.28132,0.5315,0.89418,0.009835,0.009835,0.009835
7,7046.16,0.95257,0.43298,0.92094,0.99522,0.98934,0.99482,0.646,1.28988,0.50799,0.89342,0.009802,0.009802,0.009802
8,8030.87,0.94618,0.4204,0.91951,0.99486,0.99008,0.99485,0.68993,1.14913,0.47227,0.87659,0.009769,0.009769,0.009769
9,9015.09,0.93773,0.41335,0.91673,0.99414,0.9894,0.99485,0.68382,1.15743,0.46176,0.8776,0.009736,0.009736,0.009736
10,10000.6,0.93344,0.40701,0.91744,0.99602,0.9901,0.99489,0.6839,1.15558,0.45164,0.8756,0.009703,0.009703,0.009703
11,10992.6,0.92167,0.39861,0.9118,0.99587,0.99191,0.99488,0.68716,1.14517,0.45438,0.87441,0.00967,0.00967,0.00967
12,12009.6,0.92008,0.39537,0.90789,0.99563,0.99195,0.99492,0.67995,1.1672,0.44815,0.87729,0.009637,0.009637,0.009637
13,12998.4,0.91524,0.3899,0.90881,0.9964,0.99155,0.9949,0.6729,1.18931,0.45298,0.88053,0.009604,0.009604,0.009604
14,13989.1,0.91204,0.38303,0.90672,0.99423,0.99144,0.99469,0.66771,1.22786,0.4699,0.88775,0.009571,0.009571,0.009571
15,14979.9,0.90667,0.38049,0.90743,0.99317,0.9905,0.99481,0.67454,1.19992,0.4534,0.88681,0.009538,0.009538,0.009538
16,15967.8,0.91041,0.37797,0.9064,0.99633,0.99114,0.9949,0.70051,1.11,0.43535,0.86468,0.009505,0.009505,0.009505
17,16971.3,0.90228,0.37422,0.90778,0.99642,0.99296,0.9949,0.69316,1.12936,0.42923,0.86665,0.009472,0.009472,0.009472
18,17973.6,0.89538,0.37387,0.90441,0.99622,0.99257,0.99488,0.68744,1.15373,0.43376,0.87288,0.009439,0.009439,0.009439
